q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,rx_r,ry_r,rz_r
-0.5224874304999901,-0.23867783072543516,1.7263401610715625,1.0160673330722718,-1.2017927440656713,2.1893042875191613,0.07663886249065399,-0.6191489696502686,-1.783405065536499,-2.2521523145231583,0.9631441741644369,1.3493198175608205
-0.20590096404026678,-0.2823918681025304,1.8670916042148102,0.393815578294922,-1.8555652353118424,-2.640030052517979,0.15478849411010742,-0.6100463271141052,-1.523273229598999,-1.5061423420118416,0.1490852584852398,2.0428328791500867
-0.6374881743974331,-0.17338776767284914,1.6414083878445684,0.8437296154457379,1.0564238617635195,-0.7128761078352243,0.1243615373969078,-0.6890220642089844,-1.8836504220962524,1.642326265644341,-0.29430672923951695,-0.6120598095074472
-0.7230879524802174,-0.32574321715275806,1.8292015150327858,0.9483953477501041,0.9995401342271018,-0.5296556522200415,0.2787785232067108,-0.6988716125488281,-1.9656013250350952,1.9695179041938609,-0.6397875991841722,-0.7404002743005895
-0.13916019405082777,-0.6016108319829803,1.6679755441173199,0.6544369547562267,1.4101514808622597,-0.34658896433905967,0.43029212951660156,-0.45668306946754456,-1.743344783782959,2.174218272526864,-0.0174433647319856,-1.3385203362367086
-0.4880363638208928,-0.15242757150625524,1.559001226092461,-0.5573940983792567,1.4948846749203912,0.9840368078818666,0.01641129143536091,-0.43819165229797363,-1.7299970388412476,-3.1049327256752126,0.6946150982835069,-1.7243556401410745
-0.21234059480149814,-0.266613030207152,2.011747252716995,-1.4832163694700535,0.9271149730477586,1.759605882242447,0.1476224660873413,-0.6106878519058228,-1.6355774402618408,-2.8969580160689885,1.3355910843248782,-1.1853125085238325
-0.5147958306028712,-0.525699805630564,1.901638720335921,-1.1916413909175672,1.4536750066948416,1.2606581869956779,0.32972589135169983,-0.4191449284553528,-1.8461164236068726,-2.4855889606852832,1.3179561816502587,-2.211611321405403
-0.39116605232663987,-0.16520393925228521,1.404982808660566,1.4745866614562346,0.39674305901406304,2.6873802265980995,0.15035532414913177,-0.4716506898403168,-1.7876665592193604,-0.567057829006786,0.06617690536813337,-0.13431988972429387
-0.18999946800626222,-0.18858388198775705,1.7353284814851293,0.1401210054607505,1.5099046236550295,3.121843019165195,0.10869808495044708,-0.6617670655250549,-1.5281901359558105,-0.689843303506867,-0.05075969518353585,-1.421461740829299
-0.5545261424547417,-0.4095376014840067,1.7800859750751379,1.1890761557203622,-0.9077735395657852,-1.087582897704489,0.22309885919094086,-0.5513476729393005,-1.8771482706069946,1.2667376710761218,0.9206154341485444,0.7994319518559458
-0.2929409937007552,0.05562037500722,1.9638598047596099,0.09906292204598462,0.36604634233716715,0.49521279932044515,-0.04369330778717995,-0.9697471261024475,-1.6139247417449951,3.01865207999458,0.2940584614149273,-0.30716359652335257
-0.1568987909164585,-0.3691379409335956,1.9158186755529427,-1.3502271821113607,1.4428166889698804,1.1889774932816932,0.22899511456489563,-0.4901403784751892,-1.6003226041793823,-2.00564591320338,1.0293841408186597,-2.7225594525750556
-0.3542536881089553,-0.22097721190731506,1.8300266941826295,-0.4958479636968558,-1.0866631119411327,2.519205649902498,0.11948991566896439,-0.4818178713321686,-1.7045607566833496,-2.536461535387252,-0.16557457226143946,0.9531611525790735
-0.4352180292964034,-0.13210210798949507,1.9708147546469748,-0.8882234062412124,0.7808792996801742,-0.7247418792936797,0.008324328809976578,-0.7370409965515137,-1.7409297227859497,0.9527710981538391,0.6946399763661342,-0.83467520163655
-0.5064140513515818,0.3789022788870471,1.633102945024204,1.391389678520762,1.8736535963222174,-0.582950703406083,-0.0630260556936264,-1.0355126857757568,-1.684404730796814,-1.920962422714554,-1.3204513251471965,1.606595236380862
-0.5017713418420111,0.11706193113312488,1.8883862817523196,1.5520485457165023,-0.7882082502069518,-2.1882245934385813,-0.014329337514936924,-1.019924521446228,-1.7905309200286865,2.016285016531838,0.988211192795184,-0.5688119506253315
-0.5058052903558492,-0.1606854495837587,1.4551621535117316,1.5333495827864565,-0.49047544009965277,2.4792882114168586,0.08965153992176056,-0.4854162335395813,-1.8347827196121216,-0.8242022756443981,0.7761952496503066,0.23268835191335668
-0.18874051544167353,-0.2163857656097438,1.6464993398903227,1.5050179064873717,-0.8123593462102833,-3.086139037701346,0.12385336309671402,-0.5935598015785217,-1.6087584495544434,-0.6860589898800526,1.3710446441508444,0.8892053468231094
-0.21177323830383515,-0.3446423396080044,1.8434862795571119,-1.11857041110352,-0.8435552583191742,2.7207405400911164,0.280062198638916,-0.41424745321273804,-1.7290246486663818,-2.9727798988695278,-0.22822789639450747,0.2971094821383651
-0.2715762115978832,-0.33868683561054913,1.7180950520503742,1.1867226099251875,1.2300693607877422,-2.472873896958732,0.2954460680484772,-0.620686411857605,-1.7348406314849854,0.375827060262214,-0.5241144915595823,-0.6264142199302185
-0.34360078855003845,-0.14123555266413002,1.7969410258730154,1.5349973174643257,-1.2362401947056993,1.987348427115455,0.07306542992591858,-0.765640139579773,-1.6631476879119873,2.0497454657136993,1.417382891173424,-2.9081800348067697
-0.3754051288266324,-0.24871737184897627,1.9296393267370378,-0.017242615907427934,1.2407782163020493,0.9206529943314429,0.10986921191215515,-0.7625595927238464,-1.7077550888061523,-3.0754546849397215,0.04021777150184569,-1.2162333761492903
-0.3138320090008972,0.11064829856373437,1.8752691743598175,1.429380721872676,-1.4867858979712498,-0.36337235755782943,-0.01723969168961048,-1.011309266090393,-1.569441318511963,-0.6197923166645136,1.0834041404554906,-2.52972014313864
-0.11076918304541884,0.46240994518799716,1.9658663767075426,1.4052943552836228,0.3840236708089191,-2.5797114536444554,0.0505230687558651,-1.2813414335250854,-1.5196928977966309,1.4037776135225366,0.3900566985721401,0.2497629993505237
-0.14484134220467867,-0.14458588625301735,2.0062212911323085,-0.26414345729443994,-0.7310967249752817,3.0498423340910965,0.06689105182886124,-0.7236169576644897,-1.5379623174667358,-1.8633297659317252,0.476707456839383,0.8873965052933768
-0.09871359711875406,-0.5702449005084633,1.993416565757937,-0.9663641802413765,-1.0605104007623865,0.9235899040090799,0.4284628629684448,-0.4296655058860779,-1.767173409461975,1.5449158721095015,-0.29715600128491726,0.4074003321215707
-0.4263315194850234,-0.0810732691436996,1.6336879786244276,0.432631244299368,-1.2937463477641586,-0.3430979668942278,-0.04621746018528938,-0.5262678861618042,-1.667068600654602,1.205340216515589,0.4772385740143763,1.4549069393814855
-0.4463525089056873,0.09244632256349346,1.3895127105853367,-1.1941453590818125,-1.1263123695241053,-1.6660549934732984,0.000740938528906554,-0.3581669330596924,-1.718234896659851,-1.030952016961784,-0.7256773479599019,0.3662399421563429
-0.3775030624190371,-0.07957745000638901,1.6425339432841848,-0.34232632927175427,-0.6613973092555939,3.0631123867375174,-0.015133984386920929,-0.4644346833229065,-1.688551902770996,-1.910301539755295,0.12632032911344115,0.6481952668619422
-0.453687040331256,-0.08587936156518793,1.9835357916071026,-0.025378067457034276,-0.27069053183367625,-1.3407803155556357,-0.013131525367498398,-0.8150078058242798,-1.7765105962753296,0.7005624283600991,0.42842833534184876,0.2891371361235193
-0.09193083124066179,-0.34473817127466266,1.7578942943083866,0.5817847251983321,-1.6576346288490702,1.3638920453670709,0.2157900631427765,-0.46810778975486755,-1.514534831047058,2.4263655096494596,0.23278558243528025,1.9274324859556162
