q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
-6.8548527362506335e-06,6.390317887154128e-06,1.5699481708020597,1.731636934190779e-05,-0.8163947539532715,-4.483087902681702e-06,-0.40518614649772644,-0.8890519142150879,-1.866536259651184,5.0
-6.402634060709925e-06,-2.501199154826358e-06,1.5699573875542563,8.700257555752492e-06,-0.7535912630512925,1.6655231576581361e-06,-0.4119848608970642,-0.8952736854553223,-1.8738993406295776,5.0
-6.141174835784663e-06,3.921926337858317e-06,1.569950801548134,1.180108727512235e-05,-0.6908027683125473,-2.5177227338387822e-06,-0.4183211028575897,-0.901645839214325,-1.8798385858535767,5.0
-9.788453954055082e-06,-8.523245661080643e-07,1.569957192209797,1.1794738817140868e-05,-0.6280034029447714,2.6723661086483685e-06,-0.42429664731025696,-0.9083077311515808,-1.8853545188903809,5.0
-6.266385242109066e-07,6.633887341867816e-06,1.5699530857332857,1.2950458034687228e-05,-0.5651867653845468,-8.114830477114198e-07,-0.4298362135887146,-0.9154767394065857,-1.8905339241027832,5.0
-1.0885239942480986e-05,5.094963027717711e-08,1.5699477278963294,9.352619248653033e-06,-0.5023946173344234,-4.8880433223953914e-06,-0.43519508838653564,-0.923043429851532,-1.895081877708435,5.0
-6.390556731175234e-06,3.0764828048612313e-06,1.5699519978951235,1.239955035999074e-05,-0.43960098366506417,1.2864780331904324e-06,-0.43992090225219727,-0.9305801391601562,-1.898114800453186,5.0
-3.4323349447139775e-06,1.5766509692137668e-06,1.5699525048964085,7.0840734330364675e-06,-0.376794317068449,-6.267074970564064e-06,-0.4442003071308136,-0.9390860795974731,-1.9022210836410522,5.0
-1.0788479684507319e-05,-2.04749833229604e-06,1.5699454390061898,1.0186687949074276e-05,-0.3140026259679292,-4.0463042554173835e-06,-0.4484247863292694,-0.9481986165046692,-1.906491994857788,5.0
-1.2598005519698873e-05,-2.057682547556809e-06,1.5699436920424792,1.5296457659809956e-05,-0.25118855721886035,6.87726957687931e-07,-0.45223304629325867,-0.957751452922821,-1.9105254411697388,5.0
-1.0996065238798716e-05,-1.6966434192517048e-06,1.5699534098152828,1.1273622841088958e-05,-0.18839988420918777,-1.1031797319455225e-05,-0.4556865692138672,-0.9674400091171265,-1.9139219522476196,5.0
-2.8924808599332685e-06,4.429677753089929e-06,1.5699511363752967,1.890560696562548e-05,-0.12561095908020994,2.0512723609212967e-07,-0.4586055874824524,-0.977642834186554,-1.9171552658081055,5.0
