q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
0.0,0.0,1.57,0.0,-3.14,0.0,2.518805037427853,0.37373670880791743,0.9084171206074106,5.0
0.0,0.0,1.57,0.0,-3.0144,0.0,2.5254394587575804,0.3757847157666058,0.9134942853987115,5.0
0.0,0.0,1.57,0.0,-2.8888000000000003,0.0,2.531678990670819,0.37710627413026687,0.9192656982410146,5.0
0.0,0.0,1.57,0.0,-2.7632000000000003,0.0,2.537425331635907,0.3776805632326814,0.9256404326465403,5.0
0.0,0.0,1.57,0.0,-2.6376000000000004,0.0,2.5425879501632735,0.3774985353601473,0.9325180570180588,5.0
0.0,0.0,1.57,0.0,-2.5120000000000005,0.0,2.5470855110957795,0.3765630582948838,0.9397902169117872,5.0
0.0,0.0,1.57,0.0,-2.3864000000000005,0.0,2.5508471570142213,0.3748888701341758,0.9473423421218197,5.0
0.0,0.0,1.57,0.0,-2.2608000000000006,0.0,2.553813624569921,0.37250234709707003,0.9550554516916064,5.0
0.0,0.0,1.57,0.0,-2.1352000000000007,0.0,2.555938178157002,0.36944108797673847,0.9628080284151869,5.0
0.0,0.0,1.57,0.0,-2.0096000000000007,0.0,2.557187346214677,0.36575332178531417,0.9704779332961005,5.0
0.0,0.0,1.57,0.0,-1.8840000000000008,0.0,2.557541448559388,0.36149714792353327,0.9779443298023781,5.0
0.0,0.0,1.57,0.0,-1.7584000000000009,0.0,2.5569949064388604,0.356739620846034,0.9850895876016841,5.0
0.0,0.0,1.57,0.0,-1.632800000000001,0.0,2.555556330423297,0.35155569364307226,0.9918011357839615,5.0
0.0,0.0,1.57,0.0,-1.507200000000001,0.0,2.5532483847490064,0.34602703718213773,0.9979732363747394,5.0
0.0,0.0,1.57,0.0,-1.381600000000001,0.0,2.5501074302516953,0.3402407534134581,1.0035086501980526,5.0
0.0,0.0,1.57,0.0,-1.2560000000000011,0.0,2.546182951514865,0.33428800311079154,1.008320168843913,5.0
0.0,0.0,1.57,0.0,-1.1304000000000012,0.0,2.5415367772583894,0.32826256966694706,1.0123319886047517,5.0
0.0,0.0,1.57,0.0,-1.0048000000000012,0.0,2.536242106249763,0.32225938157090445,1.015480904734968,5.0
0.0,0.0,1.57,0.0,-0.8792000000000012,0.0,2.5303823540844244,0.3163730168443666,1.01771730721846,5.0
0.0,0.0,1.57,0.0,-0.7536000000000012,0.0,2.5240498390037143,0.3106962129997932,1.0190059623561942,5.0
0.0,0.0,1.57,0.0,-0.6280000000000011,0.0,2.517344327454919,0.30531840599498306,1.0193265678601806,5.0
0.0,0.0,1.57,0.0,-0.5024000000000011,0.0,2.5103714623075692,0.30032432120243413,1.0186740727085573,5.0
0.0,0.0,1.57,0.0,-0.376800000000001,0.0,2.50324109848886,0.29579263859224536,1.017058756722583,5.0
0.0,0.0,1.57,0.0,-0.251200000000001,0.0,2.4960655722596585,0.29179475315811,1.0145060686118326,5.0
0.0,0.0,1.57,0.0,-0.12560000000000096,0.0,2.4889579313980086,0.28839365011543444,1.011056225039132,5.0
0.0,0.0,1.57,0.0,-9.43689570931383e-16,0.0,2.482030154172943,0.2856429125924227,1.0067635770218188,5.0
0.0,0.0,1.57,0.0,0.12559999999999907,0.0,2.475391385168015,0.2835858774475885,1.0016957536514437,5.0
0.0,0.0,1.57,0.0,0.2511999999999991,0.0,2.469146215748511,0.2822549525134801,0.9959325966222933,5.0
0.0,0.0,1.57,0.0,0.37679999999999914,0.0,2.4633930362629317,0.281671106023191,0.989564902354846,5.0
0.0,0.0,1.57,0.0,0.5023999999999992,0.0,2.4582224859392254,0.2818435362635559,0.9826929915315435,5.0
0.0,0.0,1.57,0.0,0.6279999999999992,0.0,2.4537160248970658,0.2827695266595225,0.9754251285813175,5.0
0.0,0.0,1.57,0.0,0.7535999999999993,0.0,2.4499446507736136,0.28443448857279324,0.9678758160133081,5.0
0.0,0.0,1.57,0.0,0.8791999999999993,0.0,2.44696778018184,0.2868121911404585,0.9601639904719242,5.0
0.0,0.0,1.57,0.0,1.0047999999999992,0.0,2.444832312623631,0.2898651745325996,0.9524111489337307,5.0
0.0,0.0,1.57,0.0,1.1303999999999992,0.0,2.443571891605376,0.29354534011813926,0.944739434567245,5.0
0.0,0.0,1.57,0.0,1.2559999999999991,0.0,2.4432063745968917,0.29779470824109294,0.9372697124122165,5.0
0.0,0.0,1.57,0.0,1.381599999999999,0.0,2.443741520184284,0.30254633166873607,0.9301196651953542,5.0
0.0,0.0,1.57,0.0,1.507199999999999,0.0,2.445168897345541,0.3077253503206458,0.9234019392822281,5.0
0.0,0.0,1.57,0.0,1.632799999999999,0.0,2.447466018278186,0.3132501706617502,0.9172223699751877,5.0
0.0,0.0,1.57,0.0,1.7583999999999989,0.0,2.4505966926863385,0.31903375117847926,0.9116783141170778,5.0
0.0,0.0,1.57,0.0,1.8839999999999988,0.0,2.4545115979455225,0.3249849736858154,0.9068571162699677,5.0
0.0,0.0,1.57,0.0,2.009599999999999,0.0,2.459149056162485,0.3310100788608037,0.9028347326336834,5.0
0.0,0.0,1.57,0.0,2.135199999999999,0.0,2.4644360058877313,0.33701414338621927,0.8996745343838011,5.0
0.0,0.0,1.57,0.0,2.260799999999999,0.0,2.470289153171803,0.3429025754325369,0.8974263092820697,5.0
0.0,0.0,1.57,0.0,2.3863999999999987,0.0,2.476616283830836,0.34858260491743337,0.8961254772885278,5.0
0.0,0.0,1.57,0.0,2.5119999999999987,0.0,2.483317716247128,0.3539647450643326,0.8957925325330524,5.0
0.0,0.0,1.57,0.0,2.6375999999999986,0.0,2.4902878718163826,0.3589642022336758,0.8964327204378765,5.0
0.0,0.0,1.57,0.0,2.7631999999999985,0.0,2.4974169382998106,0.36350221181554243,0.8980359550778907,5.0
0.0,0.0,1.57,0.0,2.8887999999999985,0.0,2.504592599875585,0.36750727913712633,0.9005769780806846,5.0
0.0,0.0,1.57,0.0,3.0143999999999984,0.0,2.5117018066333268,0.3709163058350244,0.9040157565629204,5.0
0.0,0.0,1.57,0.0,0.0,-3.14,2.4741324308861565,0.2831328506490514,1.0011666588955483,6.0
0.0,0.0,1.57,0.0,0.0,-3.0144,2.4745024042968313,0.28269417621793735,1.000912591524621,6.0
0.0,0.0,1.57,0.0,0.0,-2.8888000000000003,2.47492872787613,0.28228223043114953,1.000706643267597,6.0
0.0,0.0,1.57,0.0,0.0,-2.7632000000000003,2.4754046850527756,0.2819035033431289,1.00055205876356,6.0
