q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
0.0,0.0,1.57,0.0,-1.57,0.0,2.0375916972148675,0.6069965790178392,1.0034356327288971,1.0
0.157,0.0,1.57,0.0,-1.57,0.0,2.0653445976994194,0.6291619663282065,0.9492426798577228,1.0
0.314,0.0,1.57,0.0,-1.57,0.0,2.0888356906337466,0.6602319351740235,0.8974620888076764,1.0
0.471,0.0,1.57,0.0,-1.57,0.0,2.1074871324711846,0.6994422137079628,0.8493675798123982,1.0
0.628,0.0,1.57,0.0,-1.57,0.0,2.1208401273893385,0.7458282914035408,0.8061422013460746,1.0
0.785,0.0,1.57,0.0,-1.57,0.0,2.1285662129380496,0.7982491444809606,0.7688492290114523,1.0
0.9420000000000001,0.0,1.57,0.0,-1.57,0.0,2.1304753396935734,0.855415303278417,0.7384060106501049,1.0
1.099,0.0,1.57,0.0,-1.57,0.0,2.126520546172316,0.9159205711561416,0.7155614010436723,1.0
1.256,0.0,1.57,0.0,-1.57,0.0,2.1167991140086837,0.978276614698567,0.7008773412765495,1.0
1.413,0.0,1.57,0.0,-1.57,0.0,2.101550174981509,1.040949574350614,0.6947150358784289,1.0
1.57,0.0,1.57,0.0,-1.57,0.0,2.081148828752394,1.1023977949246524,0.6972260677670072,1.0
1.727,0.0,1.57,0.0,-1.57,0.0,2.0560969160102642,1.1611097478676249,0.7083486695491558,1.0
1.8840000000000001,0.0,1.57,0.0,-1.57,0.0,2.0270106739881046,1.215641212460851,0.7278092429006122,1.0
2.041,0.0,1.57,0.0,-1.57,0.0,1.9946055780065506,1.264650801354093,0.7551290886498657,1.0
2.198,0.0,1.57,0.0,-1.57,0.0,1.9596787419182577,1.3069329565622096,0.7896361820168765,1.0
2.355,0.0,1.57,0.0,-1.57,0.0,1.9230893103741575,1.3414476042753363,0.8304817033544688,1.0
2.512,0.0,1.57,0.0,-1.57,0.0,1.8857373252306675,1.3673457390213906,0.8766609177624368,1.0
2.669,0.0,1.57,0.0,-1.57,0.0,1.8485415859506578,1.3839903078511753,0.9270378899690457,1.0
2.826,0.0,1.57,0.0,-1.57,0.0,1.812417048597113,1.390971880828323,0.9803734265331269,1.0
2.983,0.0,1.57,0.0,-1.57,0.0,1.77825231936832,1.3881187223549334,1.0353555580330092,1.0
0.0,-1.04,0.0,0.0,0.0,0.0,1.3058024240557207,1.3214515260605093,1.5026417605137254,2.0
0.0,-0.936,0.0,0.0,0.0,0.0,1.3911842578136016,1.3053477679785013,1.5209102016630118,2.0
0.0,-0.8320000000000001,0.0,0.0,0.0,0.0,1.4761205922351843,1.2824535432593884,1.5329434087078104,2.0
0.0,-0.7280000000000001,0.0,0.0,0.0,0.0,1.5596935836580397,1.253016252726478,1.5386113477480245,2.0
0.0,-0.6240000000000001,0.0,0.0,0.0,0.0,1.6410001210514162,1.2173540032387349,1.5378527695908026,2.0
0.0,-0.5200000000000001,0.0,0.0,0.0,0.0,1.7191615852640536,1.1758521701470392,1.5306758716249165,2.0
0.0,-0.41600000000000015,0.0,0.0,0.0,0.0,1.7933333436065122,1.1289592328299969,1.5171582092376887,2.0
0.0,-0.31200000000000017,0.0,0.0,0.0,0.0,1.8627138771671328,1.077181928311548,1.497445857731727,2.0
0.0,-0.20800000000000016,0.0,0.0,0.0,0.0,1.926553442229539,1.0210797753316225,1.4717518337979976,2.0
0.0,-0.10400000000000015,0.0,0.0,0.0,0.0,1.984162172194192,0.9612590280441352,1.4403537936032103,2.0
0.0,-1.3877787807814457e-16,0.0,0.0,0.0,0.0,2.034917532452566,0.8983661246801856,1.4035910323665644,2.0
0.0,0.10399999999999987,0.0,0.0,0.0,0.0,2.078271047654688,0.8330807019718915,1.3618608178491913,2.0
0.0,0.20799999999999988,0.0,0.0,0.0,0.0,2.1137542286734554,0.7661082508247636,1.3156140973775499,2.0
0.0,0.3119999999999999,0.0,0.0,0.0,0.0,2.1409836352174714,0.6981724926032966,1.2653506247917619,2.0
0.0,0.4159999999999999,0.0,0.0,0.0,0.0,2.1596650193844877,0.6300075584135775,1.2116135599783318,2.0
0.0,0.5199999999999999,0.0,0.0,0.0,0.0,2.169596505379182,0.562350055895576,1.154983599346075,2.0
0.0,0.6239999999999999,0.0,0.0,0.0,0.0,2.1706707710344193,0.4959311092533773,1.096072700672825,2.0
0.0,0.7279999999999999,0.0,0.0,0.0,0.0,2.1628762075619195,0.4314684585408225,1.0355174701338241,2.0
0.0,0.8319999999999999,0.0,0.0,0.0,0.0,2.1462970449997876,0.36965870357968234,0.9739722829732562,2.0
0.0,0.9359999999999998,0.0,0.0,0.0,0.0,2.12111244200126,0.3111697763245634,0.9121022121586918,2.0
