q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
-1.1959341492712467e-05,5.150054924327912e-05,1.5699442613641603,-7.9049821843964e-06,-3.140019474309221,1.4851407101297045e-05,0.12498203665018082,-0.5666405558586121,-1.225266456604004,5.0
-1.1130202395285803e-05,3.908451640378496e-05,1.5699689096530531,-1.1627489849386606e-05,-3.0143999444140865,2.3749786093411833e-05,0.12448392808437347,-0.5556120872497559,-1.2258559465408325,5.0
-1.1656522889089776e-05,3.7923845471819504e-05,1.5699580387581393,-1.213260782417489e-05,-2.888807246704346,1.4995522009013248e-05,0.12289895862340927,-0.5445913672447205,-1.22696852684021,5.0
-1.1991578136125505e-05,4.685956579322228e-05,1.5699673366513598,-1.2022293554247585e-05,-2.7632254409922314,3.312172946810467e-05,0.12040659785270691,-0.5338273644447327,-1.2291154861450195,5.0
-1.0825893754954958e-05,4.004344103212688e-05,1.5699687268129487,-1.3350844677959768e-05,-2.6376295102235776,3.068018304967785e-05,0.11695437133312225,-0.5233840346336365,-1.2316607236862183,5.0
-4.8093572541979484e-06,4.044627899520682e-05,1.5699665532631226,-1.0233597123432892e-05,-2.511993808574332,2.4558181243278453e-05,0.11260723322629929,-0.5139061808586121,-1.2355682849884033,5.0
-2.136791197502295e-05,4.6436282662032026e-05,1.5699648601653353,-1.1931621671176517e-05,-2.386417152555134,2.611185262811808e-05,0.10750725120306015,-0.5051605701446533,-1.240447759628296,5.0
-1.2194644523247482e-05,3.7469174900475155e-05,1.5699799312300353,-1.156499755044884e-05,-2.2608095028937822,1.9993075518912558e-05,0.10145489871501923,-0.49730974435806274,-1.245652675628662,5.0
-1.1839213737613657e-05,4.58580380638169e-05,1.569951209736157,-9.7395273656921e-06,-2.135226531802203,1.4436420827871808e-05,0.09492655098438263,-0.490558922290802,-1.2513611316680908,5.0
-1.196630883483064e-05,3.74693887863806e-05,1.5699757635855676,-9.638735276835775e-06,-2.0096296679450267,2.635202649463515e-05,0.08773022145032883,-0.4849690794944763,-1.257723093032837,5.0
