q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,rx_r,ry_r,rz_r
3.63663511128986,0.212716110548513,-1.97022897184287,0.677226738099931,0.7057032123575,-1.72309124426147,0.15371805,0.382312292,0.525487565,0,0,0
2.86197564581348,0.0569504519072268,-1.44316359149591,-0.0325379681538215,-1.4585290934169,3.12419045695772,0.503835827,0.021449804,0.375297217,0,0,0
4.29252114639671,0.387653742802227,-1.9101408865738,0.783001010766725,-0.185612498908491,0.154609657773662,-0.15724439,0.393855963,0.501437791,0,0,0
4.99892420299208,0.0996284217475243,-1.76895344003635,0.408574368286036,1.64759150219077,-1.29473023290041,-0.226808873,0.334067386,0.608380752,0,0,0
2.89630843788621,0.017867426152235,-1.64287702741808,0.0722629125080783,1.74453587785874,-1.05944426002515,0.489469743,-0.011453306,0.600404904,0,0,0
3.84178014001375,0.042507899891026,-1.53737199852472,0.296621880382032,-1.87270432937848,2.34388594240122,0.336968162,0.404023596,0.373319299,0,0,0
3.70936534207035,-0.203543690890658,-1.74319211394735,-0.279846754473585,-0.501240432304129,-1.15000250350329,0.2476644,0.498820394,0.179238878,0,0,0
3.87125313863794,0.0474412189486711,-1.66502561709757,-0.0498125030518092,-1.68573465817898,1.02350479560837,0.252042511,0.38891003,0.260203091,0,0,0
2.20465046037658,-0.0147144422584036,-1.68792191407358,0.364178519897276,-0.0355713568962842,1.72672245164396,0.534874312,-0.209844425,0.426664178,0,0,0
2.89051016695548,0.451565242115103,-1.85966363005154,-0.605238946084728,0.952611481945918,0.359024103165891,0.377619057,0.147714586,0.546854958,0,0,0
1.90028585698074,0.416021923134595,-1.85017477829074,0.642628944928879,-0.759836109101921,3.0077675161332,0.360978353,-0.241679644,0.463947518,0,0,0
3.41020479945951,0.289776109995198,-1.8997525200323,0.141510106348131,0.741472516333061,1.03976226260447,0.25992611,0.342919094,0.546422318,0,0,0
2.22931590268946,-0.104426905337112,-1.43037368269209,0.17991351451381,-1.85204403385858,0.69890941086314,0.422074115,-0.390445764,0.331117631,0,0,0
2.46679256700263,0.216191153852138,-1.79221743584927,0.704932551490727,-1.66160325001901,1.43395802316821,0.447257421,-0.194477473,0.385202519,0,0,0
3.25208436935386,0.000463550473929507,-1.78266732300214,0.419252904853017,0.952160496755839,1.71340138074593,0.418627175,0.281589313,0.533402984,0,0,0
2.20157235945369,0.358673810944585,-1.93482953161648,-0.203246264764757,-1.46495762088586,-3.04600741552377,0.298924385,-0.139348293,0.238717189,0,0,0
3.45232061462193,0.123301023885151,-1.73136660479674,-0.180090384179113,1.65823411778337,-2.96601031482733,0.405843863,0.259977251,0.575639852,0,0,0
2.24598021056879,0.0808695502547114,-1.60658898174813,-0.513607938917152,0.278030011395462,-1.96839777582495,0.519736864,-0.168686772,0.463220412,0,0,0
1.79102963869779,0.0546379790365992,-1.71582431509822,0.436392394346167,-1.40572628366094,0.378724023158016,0.277396715,-0.459162639,0.301905792,0,0,0
2.0364462127027,-0.272608707706742,-1.54924503612837,-0.0315838222450967,-1.17100587981725,-1.21629354955034,0.431208132,-0.39720137,0.166654769,0,0,0
3.46341939907332,0.590090137999787,-1.82020483186143,0.0858210572869477,-0.714788491319415,0.449908640771343,0.146000277,0.330053607,0.449751292,0,0,0
3.54472920752348,-0.18972550490939,-1.89711472939128,-0.0715583697287016,-1.38284744685817,1.35432101028439,0.310580634,0.320467554,0.06418872,0,0,0
1.68829281887008,-0.00760978149574861,-2.03523271160797,0.555475984030819,-0.396791033862056,-1.45531731722693,0.34706164,-0.412446969,0.232178694,0,0,0
3.72336077804805,0.339226390941641,-1.82320371812332,-0.52489671732361,1.45455347206577,2.37123683731346,0.241955985,0.34972634,0.564868955,0,0,0
1.88969858722961,0.24871656584426,-2.01859804561309,0.758324075591522,1.88625927341861,-2.03405624219862,0.162890617,-0.229764414,0.559975052,0,0,0
3.37861578884079,-0.00600801802729448,-1.86478471925091,0.137452207557238,-1.37679748097416,2.28108613033891,0.389332629,0.273475252,0.164165571,0,0,0
1.90470034947617,-0.325959179937873,-1.87771415067794,0.619956637144055,-1.1154549645304,-0.901083152368997,0.387631903,-0.453102381,0.058057634,0,0,0
2.73351979462048,0.401041575967453,-1.9868749237253,0.687757893724888,0.781562897993892,-1.7600584200357,0.292877692,0.15051643,0.576654315,0,0,0
2.65437921818318,0.155993635211336,-1.67715837042666,0.33219467776391,0.201707861065599,0.129125842783995,0.487746319,0.083897701,0.541855618,0,0,0
2.45113834371793,-0.202967258698307,-1.74681391947981,-0.299808118692239,-1.15478842280486,2.98010428743358,0.463944238,-0.112819211,0.119040935,0,0,0
1.76175218540162,0.174207119971029,-1.52924785141466,-0.184467710308536,-0.604053624339445,-0.146098525841017,0.348471721,-0.339272936,0.437864028,0,0,0
1.75398651495728,0.0931901726647568,-1.86662552950081,-0.172816827101116,1.54261828699697,-1.49937186264255,0.230509543,-0.457419275,0.491856463,0,0,0
1.84562765839982,0.186977651655063,-1.83262085262816,-0.572522329625598,0.862349949071078,1.31708560185176,0.363279636,-0.369312505,0.454126517,0,0,0
3.88423174106874,0.0185955203971361,-1.65517893953223,0.224566108364086,-0.118754306330741,2.36751196856072,0.143923722,0.546883784,0.429682223,0,0,0
4.69649648318217,0.121426799156678,-1.71719684703688,-0.146683913224562,-0.972386948789454,-0.378318147308263,-0.229265085,0.405797395,0.288475982,0,0,0
1.58573486578612,0.073320501287498,-1.60622862810064,-0.0289379645337007,-0.574495017395549,-2.93295891456255,0.288094357,-0.447426728,0.379501948,0,0,0
3.58672778567066,-0.289120634837757,-1.31372977446591,-0.119211944278972,-0.516443296179556,1.32729990337598,0.41891031,0.515415295,0.326104414,0,0,0
2.82115983821278,0.32024154451901,-1.79088384204864,-0.234698973024657,-0.656206757725556,-3.01738807309096,0.393082706,0.157159624,0.354925445,0,0,0
1.65224055817087,0.468058886672903,-1.97077117300918,0.021531649701031,-0.395069420162808,-1.83244594117033,0.317781707,-0.256595466,0.379446881,0,0,0
3.22632302870422,0.0251781096454408,-1.91268157657502,0.599653460124256,-1.53047477811607,-1.80557090229837,0.482785813,0.192146218,0.207416921,0,0,0
1.87911952279686,0.343292717830054,-1.88742693319196,0.407225707718447,-0.623336441895388,-3.12969035210415,0.374110444,-0.259673963,0.397565178,0,0,0
2.89314739902285,-0.486901520891976,-1.84320648845996,-0.496822530839573,-1.36087805935507,0.376845171691303,0.39451549,0.0804865,-0.010710322,0,0,0
4.90996170199078,-0.152462474931415,-1.40257739211861,-0.517537607930725,-1.77729631527725,-2.03837199728785,-0.194545968,0.433445682,0.258068419,0,0,0
1.77748002761843,-0.0362295358664212,-1.96094327605864,0.238099078394949,-0.528496729624525,-0.766084582629855,0.372551252,-0.379706676,0.198766711,0,0,0
3.76381243166273,0.135224700475081,-1.84354339012384,0.165718524838334,0.457054740345871,1.64803467453358,0.17019079,0.477524637,0.477756929,0,0,0
2.20188726613631,-0.437583301266781,-1.46871266640928,0.712056734779444,1.89873636027796,-1.84717410064261,0.416882302,-0.43473851,0.473980273,0,0,0
1.87337950527969,0.561947828838202,-1.91161191230248,0.174185546718213,-0.470244406940366,-0.643545625307678,0.35208725,-0.153318461,0.441143193,0,0,0
3.58856029235702,-0.501916669447395,-1.84963959397139,-0.298693551240669,1.26814503562949,0.608537188371089,0.529224043,0.46451133,0.111742626,0,0,0
3.69446395605959,-0.112219197111273,-1.84314021957478,-0.569509407569466,-1.80018898127107,-2.60715736416066,0.226916637,0.259979431,0.126275339,0,0,0
4.45104288005633,-0.164614279454755,-1.78021047320228,-0.420236472440767,-1.12330054631556,1.82450447392478,-0.104230031,0.433195861,0.128304668,0,0,0
1.77294432831444,-0.0595537827583374,-2.05611341247534,-0.336690967414022,1.83594795284272,-1.083830115401,0.203926143,-0.513972133,0.274628292,0,0,0
2.08620882480598,0.218762332930529,-1.52746629205175,-0.390794833086795,-0.169352010080799,-2.20941875392786,0.446208657,-0.170546575,0.500915254,0,0,0
3.04121343462249,0.179188489435862,-1.5981509498818,0.153085663714264,-1.52344079496339,0.71137329174418,0.458334074,0.103680762,0.377658571,0,0,0
4.36588905761567,0.0334628629562965,-1.39887245357249,-0.0325712417837597,-1.48694396220676,-0.771579338721677,0.020386055,0.51296807,0.385734164,0,0,0
3.73552780690971,-0.289552825695725,-1.68173869377978,0.0319443525566436,0.716317904275304,1.27884819365254,0.363218912,0.565177531,0.353083949,0,0,0
3.42250563853512,-0.129256561210859,-2.0029490730318,-0.281639764734492,-0.060820936381704,-0.539450444193949,0.336767152,0.417502282,0.165631647,0,0,0
3.70302567255065,0.00862859545286284,-1.97171554125467,-0.476945165581684,1.65739461348105,-2.37528245593487,0.392273449,0.395089856,0.332693802,0,0,0
4.55281049104231,0.224761960885362,-1.85976877359394,0.313963999035584,-1.19223631543104,2.92884786661683,-0.136017114,0.443702588,0.296560743,0,0,0
4.39604295924884,0.149384408740291,-1.53836092853337,0.0222071597256005,-0.851611684334634,1.06221519347316,-0.103828948,0.489047582,0.417280044,0,0,0
1.72327818610067,0.349134708932249,-2.04590378093178,-0.189310152331238,0.200514887469073,-1.23271626818847,0.350972953,-0.279131896,0.380415019,0,0,0
3.2768311885167,-0.0506528783582709,-1.98748490695776,0.0494821413801113,0.477772022490187,-2.27022995601779,0.445591843,0.350914314,0.313237957,0,0,0
2.2163033481119,-0.11035619619694,-1.60790820568997,0.331785936152786,0.121380505306569,-2.06732849348742,0.559313811,-0.235708478,0.439512112,0,0,0
3.53586176715684,0.358896952493278,-1.95537110080521,0.548692133344739,-1.57005200340399,0.216590477364524,0.308580517,0.283391369,0.32578887,0,0,0
1.59458136085026,-0.38422726383283,-1.87956585720193,-0.585102183208362,-1.54336001164824,-0.2512300649962,0.152951781,-0.32730073,0.028888505,0,0,0
3.58658729441999,-0.421476459015924,-1.60074495082852,0.524687941006382,0.578959989681531,-2.54355377132316,0.447091469,0.51982638,0.352215793,0,0,0
3.31964536568424,0.102267629799508,-1.67266795917843,-0.562474567378829,-0.0897734257715443,-1.36885081575079,0.351300319,0.37421483,0.383314812,0,0,0
4.97243333302759,0.0138923157607778,-1.90476932231834,0.785196246496103,-0.927028115707782,2.85481579168823,-0.365629987,0.426322415,0.267864658,0,0,0
4.82797320205865,0.0383850996608545,-2.02744445523558,-0.170583383589544,1.62129493049886,1.79145275189489,-0.190076154,0.492078459,0.378367522,0,0,0
1.79251618226694,0.434607314625257,-2.00748806276007,-0.171576038021865,-0.388312535286325,2.05663882718953,0.34978667,-0.206580373,0.332019372,0,0,0
3.79492477481414,-0.240358049319834,-1.60823072904738,-0.405243736072058,-0.0333140532751634,1.67261194109945,0.249576525,0.577375135,0.266228016,0,0,0
4.68757511324244,0.264313888557127,-2.00540639673114,-0.0945668503582633,1.8229798358692,-0.79258798985389,-0.087226994,0.403759703,0.501810015,0,0,0
3.58911514415843,-0.113647285916911,-1.62010783261429,0.312632064208895,1.17192773143201,-0.08315843500331,0.371767455,0.401638988,0.560465386,0,0,0
4.42000951995475,0.397994774006389,-1.85420328463753,0.301102019492087,-1.77338796773985,0.518539386409335,0.000402467,0.379391767,0.356164531,0,0,0
1.68215859750461,0.130476765381921,-1.81849247660358,0.118960775112725,0.214666672599753,2.20575739035847,0.3483327,-0.386063309,0.444752884,0,0,0
4.17745163414622,0.594448886886389,-1.67890023884324,-0.519189941452506,-1.350065152756,-0.812521743207977,-0.059959621,0.244542887,0.386625589,0,0,0
3.39481997894945,0.0510007182943847,-1.81902155534379,-0.171849700939153,1.84603548366864,1.89124786436552,0.46926501,0.218164558,0.489490542,0,0,0
1.96997013026144,-0.597918346056324,-1.82019290088338,0.241724102264456,-0.0324149646191392,1.65716561438826,0.513662908,-0.424916835,0.029811557,0,0,0
3.07543567238086,-0.0119480025497503,-2.03304342190705,0.677981062793353,0.673321932162504,0.364774300315115,0.441425066,0.239193142,0.410284798,0,0,0
2.0025932755111,-0.251022269522968,-1.80558248637378,0.624271009544929,1.50804987671741,0.0300088755213633,0.355889097,-0.423591456,0.445282746,0,0,0
1.97531966843335,-0.260973453227355,-1.7963147975763,0.183888958065602,0.393164156098617,1.53169280100868,0.495595084,-0.411047868,0.294107261,0,0,0
2.17039350866441,0.0785622901722201,-1.64266797603316,0.511077260318562,-1.17263439546141,-2.10343671900074,0.460128438,-0.305219082,0.376752676,0,0,0
